2024-01-04 00:14:52.155[1704309292155] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=SELL&type=MARKET&quantity=309&timestamp=1704309292077&signature=f44ad0f8a1a85e1a70d1093eb4adbb8457a097eda3e9022808190bdc28ec0951
2024-01-04 00:28:00.460[1704310080460] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=SELL&type=MARKET&quantity=309&timestamp=1704310080357&signature=3418f9dcfa01f360b3c898b07fabbcaa6d075a86dea58b25e691ae649082b3b6
2024-01-04 00:47:16.903[1704311236903] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=SELL&type=MARKET&quantity=309&timestamp=1704311236831&signature=cf5a2f7bc9834f2e379105e4cb2e2a5d4eedfb1b6709ece8698e89a8b7ad3c0a
2024-01-04 01:35:21.609[1704314121609] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/stream
2024-01-04 01:35:23.474[1704314123474] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 02:21:03.028[1704316863028] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/stream
2024-01-04 02:21:04.964[1704316864964] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 02:47:06.960[1704318426960] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/btcusdt@kline_1m
2024-01-04 02:47:08.746[1704318428746] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 03:14:32.943[1704320072943] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/stream
2024-01-04 03:14:34.802[1704320074802] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 04:45:32.328[1704325532328] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/stream
2024-01-04 04:45:33.919[1704325533919] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 04:46:28.485[1704325588485] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/da9b0ccee6681685e85cdf5ffc13e4e8a896165d7937ee60299a6f633dad8cb1
2024-01-04 04:46:30.094[1704325590094] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 05:08:04.278[1704326884278] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/iAlGXXBHhP7NiwKpgiNJ3zGEjmvIB006V9FrkrjkGbnKhTFpIhxCaPsNdaix4Ue3
2024-01-04 05:08:05.988[1704326885988] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 05:39:00.794[1704328740794] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/iAlGXXBHhP7NiwKpgiNJ3zGEjmvIB006V9FrkrjkGbnKhTFpIhxCaPsNdaix4Ue3
2024-01-04 05:39:02.573[1704328742573] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 05:41:49.062[1704328909062] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/iAlGXXBHhP7NiwKpgiNJ3zGEjmvIB006V9FrkrjkGbnKhTFpIhxCaPsNdaix4Ue3
2024-01-04 05:41:50.637[1704328910637] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 06:27:12.615[1704331632615] | INFO  | main       | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/1CpUT5rpX1XMnGIw898JPZPRN1ygLUINjWmRE3uNyzKgOq38M8oPhxQdwKd3pP24
2024-01-04 06:27:14.426[1704331634426] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2024-01-04 06:44:17.632[1704332657632] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=SELL&type=MARKET&quantity=307&timestamp=1704332657576&signature=dec76774f91dd2f09d296affd3908d42e5eadd731c7ce4f811e320e1aa79ae27
2024-01-04 07:18:24.780[1704334704780] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0%2C22&timestamp=1704334704689&signature=4cc8f71e54b1458477e9f9479ea42c7737cb7185c3094d7a337f2296c912a978
2024-01-04 07:18:51.657[1704334731657] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0%2C22&timestamp=1704334731601&signature=a0a9585f6caee54c8226f4110a1add88afe4c9c9cad3b003124b1e9c13fd795e
2024-01-04 07:20:58.475[1704334858475] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0%2C22&timestamp=1704334858436&signature=d8d37c666db7fd99c65fcfebfbd713d695efe8a93505128beaf35a2aa53a9e24
2024-01-04 07:21:20.040[1704334880040] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0%2C22&timestamp=1704334880001&signature=83f18680c58730fa75af0386e1008482edb3c9b7b91b635d1f2221103fcfc064
2024-01-04 07:21:36.305[1704334896305] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0%2C22&timestamp=1704334896263&signature=95569d0953d45367f73dbbd932e0148fa6be1c909684e3c848f51c42e6148e68
2024-01-04 07:21:58.453[1704334918453] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0.22000&timestamp=1704334918407&signature=513b28f070737d801a279bcb64ec79c86e4812be99652c076c22de9f41aa7782
2024-01-04 07:23:12.401[1704334992401] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0.02200&timestamp=1704334992351&signature=3080e8b1e90b0434ddef90d13d18985a6c03cadbba3f8ed412c71e0a2d4409a3
2024-01-04 07:23:46.890[1704335026890] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=ACHUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=308&price=0%2C021&timestamp=1704335026840&signature=3915d796961a258cb3b99e7e40eb69bf354679a84e31251e1ec3400b283f61dc
